policy,video_id,source,clip_index,frames,cold_first_batch,single_execution_seconds,attn_mode,generation_autocast,cuda_version,gpu_name,parameter_dtype,timing_scope
human_k16_seed440829,DIEM/scottish_parliament_1152x864,DIEM,7,16,False,0.3858699593693018,sdpa,,13.0,NVIDIA RTX A2000 12GB,float32,"Single execution wall time per batch: normalized RGB already on device, model.generate plus mask construction, CUDA synchronized. No warmup/repetition; first batch is cold. Excludes load/normalization/copy. Not a latency benchmark."
human_k16_seed440829,ETMD_av/CRA_1_color,ETMD_av,8,16,False,0.39053105004131794,sdpa,,13.0,NVIDIA RTX A2000 12GB,float32,"Single execution wall time per batch: normalized RGB already on device, model.generate plus mask construction, CUDA synchronized. No warmup/repetition; first batch is cold. Excludes load/normalization/copy. Not a latency benchmark."
human_k16_seed440829,ETMD_av/CRA_2_color,ETMD_av,9,16,False,0.3814206812530756,sdpa,,13.0,NVIDIA RTX A2000 12GB,float32,"Single execution wall time per batch: normalized RGB already on device, model.generate plus mask construction, CUDA synchronized. No warmup/repetition; first batch is cold. Excludes load/normalization/copy. Not a latency benchmark."
human_k16_seed440829,SumMe/Kids_playing_in_leaves,SumMe,10,16,False,0.37489503156393766,sdpa,,13.0,NVIDIA RTX A2000 12GB,float32,"Single execution wall time per batch: normalized RGB already on device, model.generate plus mask construction, CUDA synchronized. No warmup/repetition; first batch is cold. Excludes load/normalization/copy. Not a latency benchmark."
human_k16_seed440829,SumMe/Paintball,SumMe,11,16,False,0.38054038491100073,sdpa,,13.0,NVIDIA RTX A2000 12GB,float32,"Single execution wall time per batch: normalized RGB already on device, model.generate plus mask construction, CUDA synchronized. No warmup/repetition; first batch is cold. Excludes load/normalization/copy. Not a latency benchmark."
human_k16_seed440830,AVAD/V39_Guitar4,AVAD,0,16,True,0.4082184983417392,sdpa,,13.0,NVIDIA RTX A2000 12GB,float32,"Single execution wall time per batch: normalized RGB already on device, model.generate plus mask construction, CUDA synchronized. No warmup/repetition; first batch is cold. Excludes load/normalization/copy. Not a latency benchmark."
human_k16_seed440830,AVAD/V40_Guitar5,AVAD,1,16,False,0.37937062606215477,sdpa,,13.0,NVIDIA RTX A2000 12GB,float32,"Single execution wall time per batch: normalized RGB already on device, model.generate plus mask construction, CUDA synchronized. No warmup/repetition; first batch is cold. Excludes load/normalization/copy. Not a latency benchmark."
human_k16_seed440830,Coutrot_db1/clip21,Coutrot_db1,2,16,False,0.37452586088329554,sdpa,,13.0,NVIDIA RTX A2000 12GB,float32,"Single execution wall time per batch: normalized RGB already on device, model.generate plus mask construction, CUDA synchronized. No warmup/repetition; first batch is cold. Excludes load/normalization/copy. Not a latency benchmark."
human_k16_seed440830,Coutrot_db1/clip36,Coutrot_db1,3,16,False,0.37384343333542347,sdpa,,13.0,NVIDIA RTX A2000 12GB,float32,"Single execution wall time per batch: normalized RGB already on device, model.generate plus mask construction, CUDA synchronized. No warmup/repetition; first batch is cold. Excludes load/normalization/copy. Not a latency benchmark."
human_k16_seed440830,Coutrot_db2/clip12,Coutrot_db2,4,16,False,0.382788572460413,sdpa,,13.0,NVIDIA RTX A2000 12GB,float32,"Single execution wall time per batch: normalized RGB already on device, model.generate plus mask construction, CUDA synchronized. No warmup/repetition; first batch is cold. Excludes load/normalization/copy. Not a latency benchmark."
