arm,block,attention_tokens,mlp_tokens,final_patch_tokens,restored_patches_after_each_block
tome_r15,10,51,36,16,
tome_r15,11,36,21,16,
spatial_block_r15,0,186,186,196,196
spatial_block_r15,1,186,186,196,196
spatial_block_r15,2,186,186,196,196
spatial_block_r15,3,186,186,196,196
spatial_block_r15,4,186,186,196,196
spatial_block_r15,5,186,186,196,196
spatial_block_r15,6,186,186,196,196
spatial_block_r15,7,186,186,196,196
spatial_block_r15,8,186,186,196,196
spatial_block_r15,9,186,186,196,196
spatial_block_r15,10,186,186,196,196
spatial_block_r15,11,186,186,196,196
